time,shearingDisp,s/d,25kPa,50kPa,100kPa,150kPa,200kPa,300kPa,500kPa
0,0,0,1.60071,2.88835,4.0272,2.89412,2.08393,1.92659,2.62316
0.11,0.00657636,0.00164409,3.19525,5.01594,4.86225,2.98699,2.13829,1.95469,2.84114
0.21,0.00735302,0.001838255,4.21218,6.14992,10.2545,3.20337,2.17864,2.052,3.07766
0.31,0.00790525,0.0019763125,5.03575,6.89879,11.2905,3.93787,2.2298,2.05997,3.1596
0.41,0.0101557,0.002538925,5.77827,7.6632,12.7876,11.2603,2.49708,2.0619,3.27033
0.5,0.0137428,0.0034357,6.30856,8.88338,14.2341,13.6875,8.09455,2.24863,3.27947
0.61,0.0202212,0.0050553,7.14479,10.0002,16.0395,14.9141,14.6577,3.02472,3.55103
0.7,0.0281476,0.0070369,8.00362,10.9045,17.5268,17.2732,15.786,11.7352,3.71162
0.81,0.0403521,0.010088025,8.96963,12.2453,19.9885,19.6069,17.9812,16.5206,4.15322
0.9,0.0518419,0.012960475,9.68093,13.6007,22.1304,21.1176,20.1566,18.7375,4.57715
1,0.0652455,0.016311375,12.1847,15.4306,25.1604,23.4891,22.8115,21.2861,10.8482
1.1,0.0784469,0.019611725,17.4573,17.8138,27.2009,26.2501,25.6451,23.5937,20.3569
1.21,0.0919509,0.022987725,21.9054,19.673,30.2098,29.6732,29.7016,26.4554,24.8103
1.31,0.103386,0.0258465,23.4323,21.7187,33.0699,33.1608,34.1166,29.8538,30.2195
1.4,0.113067,0.02826675,24.905,24.499,35.6963,35.6511,37.6195,33.9442,36.9474
1.5,0.122867,0.03071675,26.4995,26.9928,38.1969,37.9327,41.4795,38.68,44.6161
1.61,0.132989,0.03324725,28.8534,28.6111,40.2807,40.461,44.9057,43.5332,53.4343
1.71,0.142054,0.0355135,31.3098,30.187,42.2793,42.997,48.0503,47.5854,59.943
1.8,0.150289,0.03757225,33.6534,31.7976,44.6254,45.3885,50.4957,50.1191,65.1073
1.9,0.159647,0.03991175,34.9919,33.3968,46.5834,47.6152,53.6353,52.7638,70.9595
2,0.169372,0.042343,36.39,35.2844,48.4272,49.7132,57.295,56.4538,77.2003
2.11,0.180463,0.04511575,37.4966,37.092,50.4248,52.0362,61.1376,60.4713,85.1246
2.2,0.189959,0.04748975,38.3598,38.4267,52.358,53.9063,63.6613,64.0011,92.4701
2.3,0.20113,0.0502825,39.6829,39.7275,54.1953,56.4685,66.3225,68.895,98.5145
2.41,0.213241,0.05331025,40.9536,41.7272,56.4119,58.9321,69.2163,73.9126,103.293
2.5,0.222942,0.0557355,41.9029,43.266,58.0626,61.2538,71.4421,77.0165,107.292
2.61,0.234716,0.058679,43.1678,45.0695,60.2459,64.0207,74.5845,80.8757,111.669
2.7,0.24407,0.0610175,44.3077,46.5847,62.0711,66.0741,77.6439,83.6006,115.249
2.8,0.254189,0.06354725,46.25,48.1505,64.2277,68.7051,81.0794,86.9868,118.877
2.91,0.265028,0.066257,47.6468,50.3347,66.513,71.812,85.2753,90.8211,122.824
3,0.273858,0.0684645,48.6085,51.9287,68.6551,73.586,88.2397,94.7832,126.624
3.11,0.28503,0.0712575,50.0662,53.5494,71.3331,76.0652,91.8109,99.9628,132.269
3.21,0.295284,0.073821,51.2926,55.0611,73.7426,78.5331,94.4362,103.99,138.016
3.3,0.304488,0.076122,52.2534,56.1547,75.5844,80.9548,97.5548,107.336,142.686
3.41,0.315963,0.07899075,53.8005,57.8118,77.8042,84.0041,101.109,111.393,148.673
3.5,0.325401,0.08135025,55.3584,59.3524,79.6033,86.8828,103.792,115.085,152.976
3.6,0.335861,0.08396525,56.9336,61.3554,81.6481,89.4666,107.43,120.244,158.13
3.71,0.347152,0.086788,58.3533,62.994,84.0045,92.2648,111.905,125.39,164.835
3.8,0.35621,0.0890525,59.4306,64.5411,85.6811,94.3922,116.208,129.872,171.102
3.91,0.367358,0.0918395,60.4018,66.0932,87.775,96.6499,120.594,135.94,179.155
4,0.376602,0.0941505,61.2537,67.41,89.7319,98.4567,122.971,140.08,186.1
4.1,0.386919,0.09672975,62.4209,69.0408,92.1014,101.124,125.988,144.947,193.888
4.21,0.398224,0.099556,64.0706,70.5291,94.7764,104.222,129.005,150.535,201.434
4.31,0.408692,0.102173,65.888,72.0762,96.8867,107.248,132.527,155.7,208.715
4.4,0.418107,0.10452675,67.5105,73.7267,98.6564,109.391,135.551,160.165,215.495
4.5,0.428405,0.10710125,69.0639,75.8119,100.776,111.94,139.29,164.786,223.571
4.6,0.438534,0.1096335,70.2653,77.3209,102.876,115.154,142.75,169.983,232.655
4.71,0.449569,0.11239225,71.4445,79.1804,105.39,118.083,146.457,175.63,242.644
4.81,0.459632,0.114908,72.333,80.7415,107.737,120.526,150.007,181.371,251.007
4.9,0.468803,0.11720075,73.2523,82.1666,109.999,122.974,153.663,187.387,259.011
5,0.479177,0.11979425,74.1903,83.5809,112.42,125.44,158.008,194.037,269.067
5.1,0.489575,0.12239375,75.3219,84.889,114.525,127.902,161.791,200.834,277.779
5.21,0.501134,0.1252835,77.1432,86.5703,116.764,131.177,167.187,205.914,286.327
5.31,0.511565,0.12789125,78.7752,88.4729,119.014,134.189,172.051,209.826,293.602
5.4,0.520827,0.13020675,79.7982,89.9341,120.906,136.543,176.131,214.498,299.211
5.5,0.530981,0.13274525,80.932,91.8493,123.103,139.145,179.949,219.696,306.19
5.6,0.541008,0.135252,82.3014,93.5826,125.326,142.226,183.159,225.502,314.381
5.71,0.552107,0.13802675,83.615,94.8949,127.823,144.975,186.852,232.478,324.628
5.81,0.56239,0.1405975,85.0017,96.2781,130.092,147.662,189.841,238.678,333.451
5.9,0.571783,0.14294575,86.2099,97.6783,132.291,150.282,193.383,244.185,341.422
6,0.582119,0.14552975,87.6739,99.2534,134.46,153.199,196.272,249.601,348.992
6.1,0.592486,0.1481215,89.4125,100.839,136.466,156.108,199.599,254.782,356.756
6.21,0.603859,0.15096475,91.13,102.877,139.012,158.815,203.188,259.444,365.034
6.31,0.614112,0.153528,92.3736,104.621,141.118,161.859,206.635,263.885,372.423
6.41,0.624249,0.15606225,93.7988,106.737,143.178,164.893,209.82,269.695,380.024
6.5,0.633273,0.15831825,95.0439,108.62,145.246,167.386,212.812,275.432,385.789
6.6,0.643449,0.16086225,96.3221,110.117,147.88,170.405,216,281.887,393.193
6.7,0.653706,0.1634265,97.4473,111.875,150.281,173.246,219.518,287.716,400.869
6.81,0.665297,0.16632425,98.8698,113.944,153.175,177.076,223.25,293.332,409.027
6.91,0.675614,0.1689035,100.543,116.088,155.736,180.381,226.776,298.402,416.295
7,0.684921,0.17123025,102.062,117.894,157.721,183.471,230.617,302.792,422.376
7.1,0.695227,0.17380675,103.611,120.172,160.304,187.194,234.772,308.077,429.798
7.2,0.70538,0.176345,104.99,122.063,162.42,190.509,239.035,312.111,436.304
7.31,0.716492,0.179123,106.344,124.176,164.542,194.101,243.293,316.835,442.656
7.41,0.72642,0.181605,107.556,125.847,166.672,197.197,247.176,322.702,448.581
7.5,0.735764,0.183941,108.858,127.507,168.941,200.045,249.834,327.476,454.554
7.6,0.746223,0.18655575,110.098,129.321,171.137,202.914,253.386,332.434,461.376
7.7,0.756677,0.18916925,111.557,131.104,173.541,205.632,257.52,337.784,467.821
7.81,0.767945,0.19198625,113.249,133.127,176.551,208.828,261.714,343.435,475.333
7.91,0.778195,0.19454875,114.645,135.272,179.123,212.058,265.982,348.148,482.322
8,0.787321,0.19683025,116.059,137.097,181.666,214.885,270.373,352.647,488.206
8.11,0.798375,0.19959375,117.654,139.351,184.383,218.515,276.116,358.928,494.793
8.2,0.807453,0.20186325,118.843,140.945,186.945,221.907,280.181,363.597,499.576
8.3,0.817474,0.2043685,120.114,142.617,189.582,224.983,283.857,368.373,504.815
8.41,0.828852,0.207213,121.625,144.558,192.152,228.136,287.446,373.612,511.358
8.5,0.838298,0.2095745,122.979,146.357,194.41,230.692,290.641,377.767,517.276
8.61,0.849861,0.21246525,124.861,148.411,197.228,233.949,294.497,382.916,525.503
8.7,0.859087,0.21477175,126.257,149.825,199.749,236.566,297.731,387.374,532.36
8.8,0.869338,0.2173345,127.767,151.677,202.295,239.301,300.976,392.328,541.695
8.91,0.880489,0.22012225,129.315,153.724,205.249,242.273,305.509,397.315,550.822
9,0.889556,0.222389,130.559,155.307,207.956,244.721,308.649,400.854,557.588
9.11,0.900498,0.2251245,132.121,157.213,210.822,248.129,311.793,405.481,566.016
9.2,0.909637,0.22740925,133.084,158.783,213.008,250.984,314.474,409.629,572.89
9.3,0.920106,0.2300265,134.43,160.405,215.554,254.135,317.883,414.964,579.231
9.41,0.931678,0.2329195,135.867,162.491,218.357,257.162,322.234,421.673,587.2
9.5,0.941128,0.235282,137.046,163.759,220.797,260.195,326.226,426.862,593.918
9.61,0.952409,0.23810225,138.791,165.678,223.667,263.418,330.071,433.617,603.051
9.7,0.961603,0.24040075,140.015,167.108,226.123,266.152,333.514,438.637,610.366
9.8,0.971632,0.242908,141.317,168.917,228.751,269.149,337.511,443.243,618.22
9.91,0.982679,0.24566975,142.546,170.834,231.679,272.449,341.837,448.117,626.752
10,0.991662,0.2479155,143.747,172.321,233.837,275.472,346.005,451.797,633.482
10.11,1.00301,0.2507525,145.03,174.137,236.68,280,350.631,456.987,641.029
10.2,1.0126,0.25315,146.11,175.581,238.816,283.026,353.952,461.496,647.28
10.3,1.02313,0.2557825,147.241,177.428,241.236,285.876,358.161,467.208,653.418
10.41,1.0347,0.258675,148.836,179.167,244.056,289.5,362.238,474.097,660.346
10.5,1.04386,0.260965,150.101,180.503,246.403,292.463,365.559,479.72,666.884
10.61,1.05501,0.2637525,151.53,182.591,249.713,297.243,368.999,486.128,674.933
10.7,1.06406,0.266015,152.653,184.094,252.306,301.212,372.348,490.452,681.36
10.8,1.07409,0.2685225,153.995,186.182,254.89,305.047,376.288,495.014,688.736
10.91,1.08506,0.271265,155.286,187.78,257.418,308.493,380.111,499.715,697.349
11,1.09415,0.2735375,156.259,188.951,259.601,311.796,383.101,503.214,704.083
11.11,1.10582,0.276455,157.482,190.349,262.883,315.561,386.722,508.102,711.62
11.2,1.11535,0.2788375,158.56,191.998,265.595,318.398,389.757,512.865,717.529
11.3,1.12565,0.2814125,159.893,193.665,268.266,321.31,392.482,518.691,723.486
11.41,1.13692,0.28423,161.387,195.367,271.23,324.723,395.676,524.521,729.546
11.5,1.14608,0.28652,162.558,197.283,273.811,327.495,398.734,528.51,734.955
11.61,1.15701,0.2892525,164.116,199.477,276.591,331.164,403.047,533.812,742.081
11.7,1.16597,0.2914925,165.244,200.947,279.126,334.055,407.035,538.375,749.059
11.8,1.17588,0.29397,166.391,202.54,281.931,336.624,410.858,544.648,757.432
11.91,1.18709,0.2967725,167.712,204.042,285.296,339.832,415.563,551.377,765.251
12,1.19647,0.2991175,168.617,205.455,287.856,342.549,419.309,556.164,770.901
12.11,1.20795,0.3019875,169.724,206.893,290.765,345.534,423.333,562.159,777.378
12.2,1.21741,0.3043525,170.735,208.289,293.392,348.926,426.457,567.341,783.066
12.3,1.22781,0.3069525,171.922,210.033,295.579,352.661,429.87,572.827,788.967
12.41,1.23901,0.3097525,173.251,212.15,298.551,356.66,434.434,578.182,796.877
12.5,1.24804,0.31201,174.402,213.781,300.895,360,437.774,582.703,803.185
12.61,1.25899,0.3147475,176.119,215.491,303.869,363.851,442.246,588.701,810.597
12.7,1.2679,0.316975,177.44,216.724,306.687,366.464,445.966,594.177,816.812
12.81,1.27898,0.319745,178.843,218.238,309.445,369.607,450.687,601.396,824.684
12.9,1.28834,0.322085,179.821,219.803,311.867,372.46,454.551,607.321,832.05
13,1.29871,0.3246775,180.904,221.614,314.326,376.152,458.36,613.008,839.447
13.11,1.31006,0.327515,182.22,223.781,316.943,380.004,462.665,618.5,847.507
13.2,1.3193,0.329825,183.396,225.516,319.099,383.552,465.376,621.895,853.288
13.31,1.33056,0.33264,184.978,227.472,321.926,387.355,469.296,626.338,859.615
13.4,1.33966,0.334915,186.22,229.118,324.041,389.923,473.111,630.887,864.238
13.5,1.3497,0.337425,187.644,230.726,326.686,392.929,477.103,636.295,869.926
13.61,1.36069,0.3401725,189.457,232.44,329.73,396.401,481.528,641.327,877.131
13.7,1.36991,0.3424775,190.867,234.089,332.648,399.297,484.871,645.909,883.234
13.81,1.38133,0.3453325,192.134,236.36,336.018,402.954,489.443,652.644,891.823
13.9,1.39067,0.3476675,193.442,238.328,338.672,405.859,492.789,657.865,899.148
14,1.40086,0.350215,194.769,240.463,341.856,409.43,496.482,662.878,905.84
14.11,1.41207,0.3530175,196.215,242.65,345.117,412.987,500.377,668.367,912.221
14.2,1.42124,0.35531,197.608,244.481,347.45,415.674,504.11,673.16,918.668
14.31,1.43221,0.3580525,199.196,246.062,350.157,418.849,508.665,678.484,925.95
14.4,1.44128,0.36032,200.39,247.369,352.512,421.352,512.38,683.341,931.827
14.5,1.45141,0.3628525,201.896,249.093,355.284,424.209,516.605,689.408,940.19
14.61,1.46267,0.3656675,203.484,250.897,358.425,427.364,521.111,695.714,950.16
14.7,1.47204,0.36801,204.776,252.433,360.976,430.232,525.097,701.442,957.637
14.81,1.48348,0.37087,206.25,254.749,364.433,433.691,529.825,707.475,965.44
14.9,1.49277,0.3731925,207.484,256.707,367.353,436.785,532.844,712.645,971.166
15,1.50298,0.375745,208.962,258.647,369.929,439.762,536.047,717.358,977.578
15.11,1.51405,0.3785125,210.871,260.539,372.835,443.268,539.297,722.714,984.812
15.2,1.52309,0.3807725,212.158,261.971,375.595,446.455,543.156,727.569,991.231
15.31,1.53414,0.383535,213.836,263.684,378.712,450.107,548.395,732.882,999.864
15.4,1.54322,0.385805,215.09,265.028,381.402,453.443,552.781,737.556,1008.1
15.5,1.55343,0.3883575,216.468,266.85,384.478,457.121,558.313,742.553,1017.1
15.61,1.56486,0.391215,218.046,269.088,387.788,461.222,563.684,748.285,1027.27
15.7,1.57417,0.3935425,219.417,271.057,390.902,464.32,567.86,753.679,1033.83
15.81,1.58554,0.396385,220.935,273.434,393.894,468.107,571.89,759.313,1040.92
15.9,1.59469,0.3986725,222.354,275.191,395.932,471.31,575.012,763.988,1047.1
16,1.60482,0.401205,223.936,277.004,398.732,474.618,579.016,769.623,1054.79
16.1,1.61499,0.4037475,225.365,278.7,401.517,478.246,583.24,775.636,1063.17
16.21,1.62606,0.406515,227.106,280.795,404.615,482.337,587.805,782.016,1072.43
16.31,1.63616,0.40904,228.744,282.934,407.557,486.151,592.706,788.016,1081.19
16.4,1.64529,0.4113225,230.01,284.949,410.778,489.684,597.172,793.779,1089.54
16.5,1.6556,0.4139,231.387,287.275,414.37,493.913,602.197,800.903,1098.7
16.6,1.66605,0.4165125,232.977,289.83,417.675,498.575,607.895,807.193,1106.63
16.71,1.67734,0.419335,234.967,291.944,421.184,502.963,612.289,813.528,1116.14
16.81,1.68749,0.4218725,236.588,293.764,424.464,506.883,616.793,819.75,1123.95
16.9,1.69672,0.42418,237.978,295.419,427.238,510.457,620.959,825.228,1131.41
17,1.70687,0.4267175,239.643,297.525,430.153,514.457,626.253,831.023,1140.17
17.1,1.71697,0.4292425,241.393,299.979,433.603,518.569,631.626,837.672,1148.93
17.21,1.72815,0.4320375,242.929,302.689,437.294,522.551,637.353,844.615,1158.54
17.31,1.73845,0.4346125,244.463,305.349,440.386,526.328,642.432,850.629,1168.2
17.4,1.74772,0.43693,245.861,307.916,443.097,529.941,647.373,856.439,1177.01
17.5,1.75787,0.4394675,247.323,310.426,446.59,533.776,652.128,862.694,1185.97
17.6,1.76813,0.4420325,248.999,312.388,450.358,537.698,657.103,869.044,1194.3
17.71,1.77937,0.4448425,250.954,314.707,454.411,542.292,663.305,875.282,1202.89
17.81,1.7895,0.447375,252.863,317.308,458.151,546.76,668.578,881.633,1211.11
17.9,1.79868,0.44967,254.69,319.585,461.881,550.392,673.502,887.618,1218.95
18,1.80883,0.4522075,256.396,322.217,465.578,554.556,679.029,894.084,1227.46
18.1,1.81905,0.4547625,257.635,325.243,469.166,559.292,684.253,900.519,1235.57
18.21,1.83034,0.457585,259.594,328.377,473.266,564.565,689.937,907.903,1245.91
18.31,1.84075,0.4601875,261.273,330.729,476.576,569.26,695.267,914.637,1255.17
18.4,1.84997,0.4624925,262.649,332.77,479.564,573.732,700.147,920.587,1262.26
18.5,1.85994,0.464985,264.636,335.066,482.959,578.561,705.597,927.353,1269.54
18.6,1.87003,0.4675075,266.53,337.692,486.555,583.379,711.079,933.891,1277.92
18.71,1.88113,0.4702825,268.827,340.505,490.917,589.469,716.774,940.868,1287.21
18.81,1.89145,0.4728625,270.983,342.964,495.146,594.368,722.001,946.909,1295.13
18.9,1.90069,0.4751725,272.982,345.139,498.817,598.875,726.594,951.95,1301.72
19,1.91114,0.477785,274.748,347.621,502.234,604.085,731.797,958.167,1308.36
19.1,1.92153,0.4803825,276.252,349.915,505.662,609.44,737.047,964.269,1315.97
19.21,1.93266,0.483165,278.138,353.045,509.608,615.498,742.824,971.98,1324.11
19.31,1.94273,0.4856825,279.851,355.446,513.185,620.602,748.459,978.855,1332.1
19.4,1.95183,0.4879575,281.654,357.646,516.99,624.851,753.902,984.764,1339.56
19.5,1.96186,0.490465,283.845,360.419,520.785,629.5,759.961,991.297,1347.82
19.6,1.97205,0.4930125,286.239,363.097,524.708,634.622,765.805,998.149,1354.82
19.71,1.98335,0.4958375,288.94,365.934,529.089,640.425,771.807,1006.09,1354.93
19.81,1.99366,0.498415,291.327,368.582,532.713,645.186,777.122,1010.13,1355.66
19.9,2.0025,0.500625,292.749,371.334,536.396,650.04,780.407,1011.2,1356.23
